MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
4,19,7,PVD,MDW,0.0,10.0,842,0,2015
4,8,3,CPR,DEN,-7.0,10.0,230,0,2015
4,23,4,ATL,ORD,0.0,15.0,606,0,2015
4,28,2,ATW,MSP,-5.0,18.0,236,0,2015
4,18,6,ATL,SRQ,2.0,13.0,444,0,2015
4,17,5,IAH,CRP,-4.0,9.0,201,0,2015
4,26,7,ATL,TRI,3.0,14.0,227,0,2015
4,24,5,LGA,FLL,16.0,35.0,1076,1,2015
4,18,6,SLC,MIA,-1.0,17.0,2088,0,2015
4,13,1,PHX,JFK,-2.0,17.0,2153,0,2015
4,1,3,ATL,MSP,0.0,26.0,907,0,2015
4,28,2,GRB,ORD,-7.0,7.0,173,0,2015
4,12,7,BOS,DEN,-2.0,12.0,1754,0,2015
4,24,5,MDW,LIT,-5.0,11.0,544,0,2015
4,19,7,MCI,MDW,-1.0,7.0,405,0,2015
4,23,4,SLC,EKO,24.0,11.0,200,1,2015
4,7,2,ATL,MSY,2.0,10.0,425,0,2015
4,4,6,MKE,ORD,-8.0,11.0,67,0,2015
4,18,6,ATL,GRB,1.0,15.0,774,0,2015
4,13,1,BOS,DCA,-4.0,24.0,399,0,2015
4,14,2,EWR,SAV,-7.0,32.0,708,0,2015
4,9,4,FLL,DCA,-5.0,11.0,899,0,2015
4,20,1,LAS,BNA,21.0,10.0,1587,0,2015
4,7,2,MCO,GRR,6.0,13.0,1024,0,2015
4,26,7,ATL,HOU,-3.0,15.0,696,0,2015
4,11,6,JAN,ATL,-1.0,11.0,341,0,2015
4,23,4,DAL,AUS,2.0,7.0,189,0,2015
4,17,5,CID,DTW,0.0,10.0,430,0,2015
4,21,2,DIK,MSP,-11.0,10.0,481,0,2015
4,12,7,LAX,SLC,-9.0,9.0,590,0,2015
4,15,3,ORD,STL,-3.0,16.0,258,0,2015
4,23,4,SFO,SNA,-2.0,10.0,372,0,2015
4,6,1,MSP,DCA,-4.0,11.0,931,0,2015
4,1,3,SFO,DEN,7.0,20.0,967,0,2015
4,18,6,TPA,STL,-2.0,7.0,869,0,2015
4,27,1,MDT,MCO,-7.0,11.0,851,0,2015
4,24,5,ORD,DCA,5.0,14.0,612,0,2015
4,6,1,SAV,ATL,-4.0,27.0,214,0,2015
4,2,4,PHX,PSP,-4.0,14.0,261,0,2015
4,9,4,DFW,SFO,17.0,24.0,1464,1,2015
4,13,1,ATL,GSO,3.0,19.0,306,0,2015
4,26,7,FLL,ISP,-6.0,11.0,1092,0,2015
4,10,5,ABR,MSP,-10.0,4.0,257,0,2015
4,1,3,ELP,SAT,-3.0,11.0,496,0,2015
4,20,1,MSP,CLT,-6.0,46.0,930,1,2015
4,19,7,LAS,IAD,102.0,12.0,2065,1,2015
4,3,5,DCA,CLT,-4.0,27.0,331,0,2015
4,5,7,BUF,BWI,3.0,19.0,281,0,2015
4,9,4,TUS,DEN,13.0,7.0,639,0,2015
4,12,7,PHX,SLC,-6.0,26.0,507,0,2015
4,9,4,HOU,MCO,-5.0,10.0,849,0,2015
4,16,4,DFW,DEN,-6.0,41.0,641,0,2015
4,30,4,BWI,MSY,-1.0,7.0,998,0,2015
4,3,5,DEN,FSD,-2.0,12.0,483,0,2015
4,15,3,DEN,COS,47.0,11.0,73,1,2015
4,4,6,LAS,BOI,-6.0,10.0,519,0,2015
4,26,7,JFK,LAS,-8.0,33.0,2248,0,2015
4,17,5,SAN,DEN,22.0,18.0,853,1,2015
4,1,3,LAS,SMF,38.0,12.0,397,1,2015
4,23,4,ATL,ILM,-5.0,16.0,377,0,2015
4,22,3,HOU,BWI,-5.0,8.0,1246,0,2015
4,15,3,SFO,SMF,12.0,22.0,86,1,2015
4,4,6,BOS,JAX,1.0,21.0,1010,0,2015
4,2,4,TUL,IAH,-9.0,13.0,429,0,2015
4,11,6,ECP,DAL,1.0,6.0,674,0,2015
4,16,4,SAN,SMF,8.0,13.0,480,0,2015
4,3,5,LAX,SFO,-2.0,16.0,337,0,2015
4,30,4,PIT,CLT,-5.0,11.0,366,0,2015
4,5,7,SFO,DFW,-8.0,19.0,1464,0,2015
4,5,7,OKC,HOU,-3.0,7.0,419,0,2015
4,24,5,OKC,DEN,-4.0,9.0,495,0,2015
4,1,3,FLL,HPN,16.0,10.0,1097,0,2015
4,16,4,ATL,MDW,56.0,14.0,591,1,2015
4,10,5,LAX,FAT,0.0,9.0,209,0,2015
4,14,2,BOS,DFW,-6.0,13.0,1562,0,2015
4,3,5,BET,ANC,15.0,4.0,399,0,2015
4,13,1,DTW,TPA,3.0,24.0,983,0,2015
4,3,5,BOS,ACY,-5.0,13.0,274,0,2015
4,18,6,MCO,ATL,-7.0,22.0,404,0,2015
4,16,4,DFW,MKE,16.0,13.0,853,1,2015
4,17,5,LGA,DTW,4.0,29.0,502,0,2015
4,9,4,HNL,KOA,-5.0,17.0,163,0,2015
4,11,6,RSW,DEN,-1.0,11.0,1607,0,2015
4,11,6,MKE,ATL,2.0,12.0,669,0,2015
4,5,7,LAS,HNL,-6.0,16.0,2762,0,2015
4,16,4,BOS,PHX,7.0,28.0,2300,0,2015
4,17,5,LCH,DFW,-11.0,15.0,295,0,2015
