FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
3619,1,8,4,-8.0,10.0,878,0,2015
3620,1,30,5,-5.0,8.0,1182,0,2015
3621,1,17,6,-5.0,11.0,223,0,2015
3622,1,24,6,-6.0,21.0,1846,1,2015
3623,1,10,6,50.0,14.0,1846,1,2015
3624,1,5,1,3.0,10.0,1855,0,2015
3625,1,6,2,-4.0,24.0,187,0,2015
3626,1,5,1,-3.0,17.0,1590,0,2015
3627,1,12,1,44.0,15.0,659,1,2015
3628,1,21,3,-5.0,8.0,546,0,2015
3629,1,16,5,23.0,15.0,507,1,2015
3630,1,19,1,6.0,14.0,230,0,2015
3631,1,5,1,18.0,15.0,600,1,2015
3632,1,7,3,-2.0,15.0,197,0,2015
3633,1,29,4,5.0,15.0,2704,0,2015
3634,1,21,3,-3.0,8.0,546,0,2015
3635,1,16,5,-4.0,16.0,1995,0,2015
3636,1,7,3,16.0,8.0,362,0,2015
3637,1,13,2,0.0,24.0,1825,0,2015
3638,1,2,5,-5.0,11.0,1008,0,2015
3639,1,23,5,-10.0,9.0,605,0,2015
3640,1,17,6,-4.0,33.0,989,0,2015
3641,1,24,6,10.0,24.0,1587,0,2015
3642,1,3,6,7.0,31.0,861,1,2015
3643,1,30,5,7.0,9.0,108,0,2015
3644,1,14,3,-7.0,19.0,677,0,2015
3645,1,31,6,2.0,10.0,1706,0,2015
3646,1,27,2,3.0,25.0,888,0,2015
3647,1,14,3,13.0,12.0,922,1,2015
3648,1,20,2,-4.0,23.0,1028,0,2015
3649,1,23,5,-6.0,9.0,100,0,2015
3650,1,31,6,-7.0,26.0,852,0,2015
3651,1,12,1,2.0,9.0,251,0,2015
3652,1,23,5,27.0,12.0,1085,0,2015
3653,1,28,3,-3.0,24.0,967,0,2015
3654,1,5,1,3.0,21.0,1381,1,2015
3655,1,29,4,-1.0,14.0,641,0,2015
3656,1,9,5,-5.0,10.0,373,0,2015
3657,1,29,4,14.0,32.0,297,1,2015
3658,1,9,5,10.0,13.0,2475,0,2015
3659,1,11,7,-8.0,9.0,421,0,2015
3660,1,14,3,14.0,13.0,406,0,2015
3661,1,20,2,-5.0,7.0,309,0,2015
3662,1,7,3,-13.0,14.0,190,0,2015
3663,1,28,3,-2.0,18.0,707,0,2015
3664,1,8,4,0.0,13.0,300,0,2015
3665,1,28,3,-11.0,10.0,342,0,2015
3666,1,20,2,26.0,11.0,1201,0,2015
3667,1,4,7,9.0,19.0,1635,0,2015
3668,1,26,1,-1.0,12.0,639,0,2015
3669,1,10,6,-11.0,32.0,631,0,2015
3670,1,4,7,20.0,25.0,1076,0,2015
3671,1,6,2,13.0,9.0,414,1,2015
3672,1,26,1,-2.0,18.0,978,0,2015
3673,1,7,3,24.0,11.0,1460,0,2015
3674,1,26,1,0.0,18.0,447,0,2015
3675,1,7,3,6.0,12.0,2039,0,2015
3676,1,23,5,-7.0,7.0,423,0,2015
3677,1,2,5,13.0,16.0,1041,0,2015
3678,1,10,6,-1.0,22.0,277,0,2015
3679,1,1,4,95.0,21.0,733,1,2015
3680,1,9,5,12.0,13.0,1400,0,2015
3681,1,17,6,-1.0,19.0,882,0,2015
3682,1,9,5,10.0,16.0,2603,0,2015
3683,1,19,1,-5.0,20.0,2338,0,2015
3684,1,1,4,40.0,14.0,458,1,2015
3685,1,16,5,-8.0,13.0,607,0,2015
3686,1,16,5,-4.0,14.0,407,0,2015
3687,1,14,3,0.0,7.0,386,0,2015
3688,1,31,6,-9.0,11.0,290,0,2015
3689,1,28,3,-6.0,11.0,1036,0,2015
3690,1,20,2,-7.0,13.0,624,0,2015
3691,1,9,5,18.0,113.0,2248,1,2015
3692,1,18,7,-7.0,13.0,192,0,2015
3693,1,16,5,4.0,10.0,446,0,2015
3694,1,1,4,30.0,16.0,301,1,2015
3695,1,16,5,0.0,23.0,1041,0,2015
3696,1,8,4,12.0,15.0,1947,1,2015
3697,1,23,5,0.0,17.0,137,0,2015
3698,1,19,1,-12.0,21.0,626,0,2015
3699,1,15,4,13.0,12.0,515,0,2015
3700,1,24,6,-1.0,13.0,446,0,2015
3701,1,2,5,62.0,10.0,694,1,2015
3702,1,29,4,-7.0,14.0,508,0,2015
3703,1,26,1,0.0,13.0,89,0,2015
3704,1,1,4,-2.0,13.0,590,0,2015
3705,1,21,3,-5.0,11.0,748,0,2015
3706,1,24,6,-8.0,10.0,813,0,2015
3707,1,22,4,30.0,33.0,235,1,2015
3708,1,11,7,-3.0,14.0,89,0,2015
3709,1,1,4,1.0,25.0,1475,0,2015
3710,1,18,7,-3.0,13.0,704,0,2015
3711,1,4,7,92.0,39.0,738,1,2015
3712,1,20,2,-5.0,12.0,1744,0,2015
3713,1,21,3,-4.0,8.0,358,0,2015
3714,1,12,1,63.0,18.0,606,1,2015
3715,1,16,5,-2.0,17.0,356,0,2015
3716,1,12,1,94.0,50.0,1846,1,2015
3717,1,9,5,161.0,16.0,427,1,2015
3718,1,3,6,63.0,11.0,971,1,2015
3719,1,28,3,6.0,7.0,682,0,2015
3720,1,12,1,30.0,16.0,1400,1,2015
3721,1,19,1,-8.0,13.0,1068,0,2015
3722,1,12,1,-2.0,47.0,782,1,2015
3723,1,13,2,111.0,19.0,125,1,2015
3724,1,19,1,-3.0,16.0,1158,0,2015
3725,1,7,3,32.0,16.0,1235,1,2015
3726,1,1,4,-9.0,13.0,2311,0,2015
3727,1,31,6,-5.0,9.0,1008,0,2015
3728,1,29,4,-2.0,21.0,214,0,2015
3729,1,13,2,-3.0,20.0,337,0,2015
3730,1,16,5,3.0,6.0,991,0,2015
3731,1,10,6,8.0,15.0,1464,0,2015
3732,1,29,4,-4.0,17.0,479,0,2015
3733,1,1,4,-4.0,13.0,1020,0,2015
3734,1,9,5,13.0,21.0,1147,0,2015
3735,1,16,5,-3.0,10.0,862,0,2015
3736,1,9,5,9.0,24.0,1237,1,2015
3737,1,15,4,6.0,10.0,302,0,2015
3738,1,18,7,-3.0,15.0,2583,0,2015
3739,1,4,7,149.0,18.0,683,1,2015
3740,1,29,4,49.0,11.0,200,1,2015
3741,1,4,7,121.0,18.0,680,1,2015
3742,1,19,1,-8.0,11.0,127,0,2015
3743,1,3,6,3.0,18.0,1121,1,2015
3744,1,15,4,24.0,13.0,721,0,2015
3745,1,29,4,-5.0,11.0,2797,0,2015
3746,1,14,3,-4.0,25.0,448,0,2015
3747,1,16,5,3.0,18.0,363,0,2015
3748,1,12,1,4.0,27.0,2704,1,2015
3749,1,16,5,-3.0,8.0,588,0,2015
3750,1,7,3,154.0,26.0,2475,1,2015
3751,1,13,2,1.0,11.0,370,0,2015
3752,1,11,7,18.0,21.0,1635,0,2015
3753,1,29,4,-2.0,12.0,1814,0,2015
3754,1,12,1,-10.0,9.0,2845,0,2015
3755,1,17,6,-13.0,13.0,402,0,2015
3756,1,30,5,-6.0,6.0,125,0,2015
3757,1,2,5,58.0,7.0,368,1,2015
3758,1,26,1,-6.0,37.0,270,0,2015
3759,1,11,7,9.0,16.0,305,1,2015
3760,1,22,4,2.0,16.0,937,0,2015
3761,1,22,4,-6.0,12.0,316,0,2015
3762,1,20,2,-3.0,13.0,2253,0,2015
3763,1,6,2,-7.0,12.0,604,0,2015
3764,1,28,3,-9.0,12.0,601,0,2015
3765,1,13,2,18.0,32.0,1721,1,2015
3766,1,9,5,17.0,17.0,134,1,2015
3767,1,3,6,26.0,8.0,441,1,2015
3768,1,3,6,256.0,6.0,1844,1,2015
3769,1,10,6,11.0,12.0,888,0,2015
3770,1,4,7,14.0,9.0,406,0,2015
3771,1,17,6,-12.0,20.0,1028,0,2015
3772,1,20,2,7.0,21.0,733,0,2015
3773,1,3,6,-5.0,18.0,447,0,2015
3774,1,27,2,-2.0,12.0,429,0,2015
3775,1,21,3,-5.0,7.0,849,0,2015
3776,1,13,2,-3.0,8.0,2611,0,2015
3777,1,30,5,35.0,8.0,308,1,2015
3778,1,13,2,2.0,11.0,674,0,2015
3779,1,6,2,-3.0,20.0,2153,0,2015
3780,1,21,3,-3.0,51.0,488,0,2015
3781,1,13,2,2.0,10.0,738,0,2015
3782,1,19,1,-4.0,14.0,834,0,2015
3783,1,29,4,-6.0,23.0,250,1,2015
3784,1,17,6,-5.0,16.0,634,0,2015
3785,1,22,4,-10.0,8.0,595,0,2015
3786,1,18,7,-1.0,11.0,588,0,2015
3787,1,24,6,-4.0,15.0,1592,0,2015
3788,1,27,2,-8.0,14.0,584,0,2015
3789,1,16,5,-11.0,29.0,222,0,2015
3790,1,16,5,20.0,20.0,2125,1,2015
3791,1,22,4,-6.0,12.0,366,0,2015
3792,1,8,4,-7.0,15.0,495,0,2015
3793,1,19,1,-1.0,10.0,369,0,2015
3794,1,19,1,-8.0,16.0,2296,0,2015
3795,1,31,6,-2.0,26.0,984,0,2015
3796,1,13,2,-3.0,13.0,448,0,2015
3797,1,20,2,-3.0,18.0,406,0,2015
3798,1,17,6,-3.0,9.0,1357,0,2015
3799,1,4,7,40.0,12.0,307,1,2015
3800,1,3,6,22.0,18.0,449,1,2015
3801,1,15,4,11.0,30.0,1674,1,2015
3802,1,6,2,-7.0,14.0,147,0,2015
3803,1,4,7,24.0,8.0,623,1,2015
3804,1,27,2,-2.0,10.0,1390,0,2015
3805,1,14,3,20.0,11.0,622,1,2015
3806,1,24,6,14.0,12.0,226,0,2015
3807,1,11,7,-1.0,8.0,1587,0,2015
3808,1,6,2,88.0,9.0,1167,1,2015
3809,1,30,5,0.0,8.0,828,0,2015
3810,1,22,4,-3.0,13.0,590,0,2015
3811,1,18,7,18.0,12.0,462,1,2015
3812,1,13,2,0.0,11.0,1642,0,2015
3813,1,12,1,47.0,23.0,733,1,2015
3814,1,26,1,-3.0,15.0,651,0,2015
3815,1,16,5,0.0,18.0,762,1,2015
3816,1,2,5,0.0,18.0,590,1,2015
3817,1,21,3,62.0,11.0,491,1,2015
3818,1,26,1,-3.0,18.0,247,0,2015
3819,1,28,3,-1.0,10.0,508,0,2015
3820,1,8,4,-2.0,7.0,616,0,2015
3821,1,5,1,22.0,11.0,626,0,2015
3822,1,28,3,-2.0,14.0,546,0,2015
3823,1,2,5,33.0,11.0,546,1,2015
3824,1,18,7,-3.0,13.0,361,0,2015
3825,1,10,6,17.0,11.0,425,0,2015
3826,1,7,3,45.0,19.0,849,1,2015
3827,1,19,1,10.0,8.0,137,0,2015
3828,1,4,7,19.0,19.0,370,1,2015
3829,1,14,3,-10.0,22.0,308,0,2015
3830,1,4,7,13.0,9.0,452,0,2015
3831,1,16,5,-3.0,10.0,486,0,2015
3832,1,16,5,-4.0,12.0,460,0,2015
3833,1,19,1,1.0,11.0,406,0,2015
3834,1,8,4,-8.0,18.0,2329,0,2015
3835,1,25,7,-7.0,17.0,184,0,2015
3836,1,10,6,-3.0,16.0,448,0,2015
3837,1,11,7,10.0,9.0,201,0,2015
3838,1,9,5,3.0,11.0,432,0,2015
3839,1,8,4,-4.0,12.0,594,0,2015
3840,1,8,4,-4.0,11.0,1216,0,2015
3841,1,9,5,0.0,30.0,1021,0,2015
